ID,gender,name,DOB,area,city,phone,HMO,COB,height,weight,support
368886865,F,Ayala,1953-12-25 00:00:00,N,Akko,0522412833,Maccabi,Brazil,1.6400000000000001,75.0,True
293501473,F,Shira,1953-10-23 00:00:00,C,Givatayim,0529400033,Leumit,Poland,1.54,56.0,False
135001821,F,Gila,1968-12-04 00:00:00,C,Petah-Tikva,0544765023,Maccabi,Argentina,1.62,72.0,False
242796756,F,Aviva,1986-06-16 00:00:00,N,Zichron-Yaakov,0523682142,Maccabi,Czech Republic,1.5,71.0,True
139034578,F,Michal,1982-10-08 00:00:00,C,Yavne,0523235091,Maccabi,Israel,1.72,93.0,True
172909910,M,Uri,1994-07-21 00:00:00,N,Zichron-Yaakov,0542029418,Leumit,Ukraine,1.62,76.0,False
198057110,M,Asher,1988-10-24 00:00:00,C,Herzliya,0521294304,Clalit,Israel,1.82,91.0,False
239383074,F,Tamar,1954-02-12 00:00:00,N,Akko,0501744257,Maccabi,Italy,1.5,71.0,True
284249538,F,Penina,1973-08-29 00:00:00,S,Ashdod,0541474303,Leumit,Israel,1.52,61.0,True
342452632,F,Ayala,1965-12-12 00:00:00,C,Yavne,0505948541,Leumit,Israel,2.04,103.0,True
114668464,M,Lior,1978-04-18 00:00:00,N,Zichron-Yaakov,0541131891,Clalit,Argentina,1.6400000000000001,51.0,True
220787568,F,Neta,1982-11-05 00:00:00,N,Akko,0546336706,Clalit,Italy,1.74,84.0,True
341493446,F,Tova,1974-03-30 00:00:00,N,Nazareth,0541126278,Maccabi,England,1.7,78.0,True
287954139,M,Shai,1994-12-28 00:00:00,S,Beer-Sheva,0503703531,Meuhedet,Russia,1.82,75.0,True
144257137,F,Ilana,1951-11-01 00:00:00,S,Ashkelon,0529391001,Meuhedet,Yemen,1.7,89.0,False
262695432,F,Sarah,1974-12-24 00:00:00,C,Rehovot,0545003558,Meuhedet,Israel,1.8800000000000001,81.0,False
134705539,F,Naomi,1976-02-23 00:00:00,N,Nazareth,0528920135,Clalit,Morocco,1.5,49.0,False
294331865,M,Shachar,1980-04-01 00:00:00,C,Ramat-Gan,0505715485,Meuhedet,Israel,1.6600000000000001,54.0,False
297414191,M,Oren,1971-01-25 00:00:00,S,Beer-Sheva,0507807669,Clalit,Italy,1.86,84.0,False
124606573,F,Bracha,1982-10-15 00:00:00,C,Holon,0526744449,Maccabi,Israel,1.86,98.0,True
193433823,F,Sahar,1954-03-07 00:00:00,C,Rishon-LeZion,0523621434,Maccabi,Poland,1.96,97.0,True
288207952,M,Oren,1995-07-30 00:00:00,C,Rehovot,0525542679,Clalit,Israel,1.78,82.0,True
370169899,M,Nathan,1953-07-06 00:00:00,N,Akko,0503328383,Leumit,Ukraine,1.7,79.0,True
121688441,F,Shachar,1976-03-04 00:00:00,C,Givatayim,0502888996,Meuhedet,Yemen,1.6600000000000001,72.0,True
373195497,M,Tal,1984-05-13 00:00:00,N,Akko,0506905451,Maccabi,Brazil,1.82,81.0,True
336989865,M,Rafi,1969-04-10 00:00:00,N,Haifa,0507585902,Clalit,Argentina,1.8800000000000001,72.0,True
311813223,F,Nitzan,1957-05-17 00:00:00,N,Akko,0522692271,Maccabi,Israel,1.52,60.0,False
395473454,F,Penina,1984-01-13 00:00:00,N,Zichron-Yaakov,0546911655,Meuhedet,Israel,1.5,53.0,False
177615812,M,Yair,1977-07-18 00:00:00,N,Akko,0542009120,Leumit,Brazil,1.7,71.0,True
273847517,M,Yitzhak,1964-06-12 00:00:00,N,Tiberias,0544115307,Clalit,Slovakia,1.76,77.0,True
362614813,F,Tova,1960-01-16 00:00:00,N,Tiberias,0544336364,Clalit,Israel,1.8,89.0,True
158458501,M,Or,1977-12-15 00:00:00,C,Tel-Aviv,0549309865,Clalit,Ukraine,1.7,63.0,False
123525184,F,Adi,1956-05-05 00:00:00,N,Zichron-Yaakov,0528579024,Meuhedet,Ukraine,1.82,69.0,False
340460269,F,Eden,1987-09-21 00:00:00,S,Beer-Sheva,0521723647,Maccabi,Slovakia,1.74,74.0,True
365781216,M,Tal,1974-10-14 00:00:00,N,Zichron-Yaakov,0502054637,Clalit,Argentina,1.78,60.0,True
173408995,F,Tamar,1975-11-02 00:00:00,S,Beer-Sheva,0546242956,Leumit,Argentina,2.1,90.0,False
280386293,F,Tova,1951-10-26 00:00:00,S,Beer-Sheva,0504437295,Maccabi,Israel,1.96,99.0,True
276327540,M,Yaakov,1984-05-15 00:00:00,C,Jerusalem,0525459087,Maccabi,Slovakia,1.84,84.0,True
138875928,F,Doron,1994-06-06 00:00:00,C,Rishon-LeZion,0543462458,Meuhedet,Israel,1.8,89.0,True
287542626,F,Sahar,1993-02-15 00:00:00,S,Ashkelon,0542148505,Maccabi,Slovakia,1.86,99.0,True
152179121,F,Ilana,1977-11-23 00:00:00,N,Akko,0506520231,Clalit,Ukraine,1.62,48.0,False
242182876,M,Or,1958-01-08 00:00:00,C,Yavne,0543488309,Leumit,Israel,1.86,87.0,True
359283201,M,Nitzan,1994-08-28 00:00:00,S,Beer-Sheva,0505322390,Clalit,England,1.54,75.0,False
387062212,F,Or,1982-06-25 00:00:00,N,Akko,0549157397,Clalit,Israel,1.86,93.0,True
287400372,F,Michal,1954-01-15 00:00:00,N,Tiberias,0529612434,Clalit,Israel,1.72,90.0,True
