ID,gender,Fname,Lname,phone,Mail
148545494,F,Gila,Shoham,0543002829,Gila_Shoham4718@LUKA.com
138555360,F,Leah,Stein,0524040108,Leah_Stein2779@LUKA.com
212165026,M,Shlomo,Ashkenazi,0525296657,Shlomo_Ashkenazi9130@LUKA.com
247489378,F,Esther,Azoulay,0507014903,Esther_Azoulay3550@LUKA.com
324689945,M,Amit,Ashkenazi,0509724453,Amit_Ashkenazi8952@LUKA.com
137342788,F,Michal,Levy-Bencheton,0503147974,Michal_Levy-Bencheton5189@LUKA.com
213876021,M,Avraham,Toledano,0549192992,Avraham_Toledano8226@LUKA.com
371610597,M,Or,Levi-Abekasis,0547136307,Or_Levi-Abekasis1956@LUKA.com
325886368,F,Michal,Friedman,0508559109,Michal_Friedman7282@LUKA.com
111799873,M,Reuven,David,0529098041,Reuven_David7839@LUKA.com
243888194,F,Tova,Leviatan,0542199808,Tova_Leviatan9913@LUKA.com
252070565,F,Tova,Mizrahi,0549504736,Tova_Mizrahi2719@LUKA.com
130444003,F,Ruth,Berger,0505236611,Ruth_Berger6136@LUKA.com
332146615,F,Hannah,Madar,0527244324,Hannah_Madar2564@LUKA.com
210461120,F,Devorah,Mizrahi,0521395974,Devorah_Mizrahi4027@LUKA.com
118722526,F,Tal,Shoham,0509930622,Tal_Shoham5287@LUKA.com
330729243,F,Moran,Mizrahi,0504807870,Moran_Mizrahi8465@LUKA.com
295763454,F,Gila,Katz,0523389621,Gila_Katz2265@LUKA.com
364421777,F,Adi,Ezra,0527752915,Adi_Ezra3444@LUKA.com
135065632,M,Nitzan,Katz,0526310019,Nitzan_Katz5350@LUKA.com
156527517,F,Tal,Shoham,0503732427,Tal_Shoham3521@LUKA.com
273333103,F,Omer,Eisenberg,0541214916,Omer_Eisenberg6479@LUKA.com
295108577,F,Liora,Cohen,0541507052,Liora_Cohen7884@LUKA.com
392390247,F,Aviva,Levi-Abekasis,0507547761,Aviva_Levi-Abekasis1662@LUKA.com
145504621,F,Shira,Friedland,0549999694,Shira_Friedland6557@LUKA.com
321167072,F,Liora,Ben-David,0504263689,Liora_Ben-David8544@LUKA.com
280272444,F,Ilana,Harari,0547361580,Ilana_Harari2984@LUKA.com
199067986,M,Aaron,Levy-Bencheton,0501099371,Aaron_Levy-Bencheton9261@LUKA.com
211652404,F,Bracha,Stein,0542414820,Bracha_Stein1868@LUKA.com
287632917,M,Eliezer,Mizrahi,0527670863,Eliezer_Mizrahi4304@LUKA.com
165280303,F,Michal,Ezra,0547464406,Michal_Ezra3060@LUKA.com
339076396,F,Batya,Levy,0508115926,Batya_Levy5534@LUKA.com
380509673,M,Eli,Mizrahi,0508418243,Eli_Mizrahi7722@LUKA.com
392953977,F,Rotem,Ben-David,0509859525,Rotem_Ben-David6925@LUKA.com
133546121,F,Hannah,Cohen,0545619536,Hannah_Cohen4557@LUKA.com
342759971,F,Rebecca,Mizrahi,0546350627,Rebecca_Mizrahi7512@LUKA.com
270720741,F,Gal,Aloni,0503993323,Gal_Aloni1106@LUKA.com
282757839,M,Amit,David,0502121595,Amit_David7854@LUKA.com
271742151,F,Shira,Aloni,0502501243,Shira_Aloni3174@LUKA.com
321168084,F,Nitzan,Ezra,0541923717,Nitzan_Ezra1439@LUKA.com
351133127,F,Elisheva,Schwartz,0521577332,Elisheva_Schwartz2678@LUKA.com
297221699,F,Ariel,Berger,0522572665,Ariel_Berger6462@LUKA.com
238710978,F,Chana,Levi-Abekasis,0541962477,Chana_Levi-Abekasis7621@LUKA.com
290581935,F,Shoshana,Toledano,0509980169,Shoshana_Toledano2752@LUKA.com
384496751,F,Leah,Mizrahi,0527135968,Leah_Mizrahi4029@LUKA.com
251035886,F,Adi,Shapiro,0506297171,Adi_Shapiro3785@LUKA.com
385676492,M,Adi,Madar,0543500269,Adi_Madar8602@LUKA.com
138506955,M,Jonathan,Leviatan,0502802369,Jonathan_Leviatan5059@LUKA.com
380245681,F,Ilana,Levy,0523025837,Ilana_Levy4864@LUKA.com
237153542,M,Shalev,Kaplan,0507408813,Shalev_Kaplan6124@LUKA.com
