ID,gender,name,DOB,area,city,phone,HMO,COB,height,weight,support
232602863,M,Nitzan,1951-10-16 00:00:00,S,Eilat,0546507908,Meuhedet,Yemen,1.6,53.0,True
293998750,F,Lior,1983-11-04 00:00:00,S,Ashdod,0525630586,Clalit,Israel,1.84,61.0,True
278352061,M,Shachar,1957-10-24 00:00:00,S,Beer-Sheva,0522528653,Clalit,England,1.6400000000000001,48.0,True
360992558,M,Omer,1975-06-23 00:00:00,N,Zichron-Yaakov,0521335323,Maccabi,Israel,1.86,68.0,True
332496891,F,Rachel,1957-04-24 00:00:00,C,Herzliya,0501708846,Leumit,Slovakia,1.72,69.0,True
254219076,M,Or,1960-07-05 00:00:00,C,Bat-Yam,0506219073,Meuhedet,Israel,1.8800000000000001,76.0,True
185010369,F,Batya,1953-03-20 00:00:00,C,Netanya,0547650036,Maccabi,France,1.6600000000000001,47.0,True
272399117,M,Jonathan,1975-11-18 00:00:00,C,Petah-Tikva,0528828538,Meuhedet,Israel,1.78,67.0,True
363720973,M,Zev,1995-03-26 00:00:00,C,Bat-Yam,0503032694,Leumit,Israel,1.74,95.0,False
223430793,M,Nitzan,1964-12-13 00:00:00,N,Nazareth,0542000361,Maccabi,Poland,1.92,108.0,True
328358201,F,Gal,1987-07-30 00:00:00,C,Herzliya,0507097820,Leumit,Ukraine,1.76,98.0,True
234358622,M,Ariel,1959-07-29 00:00:00,N,Nazareth,0521358745,Clalit,Yemen,2.1,118.0,True
361137667,F,Elior,1994-11-02 00:00:00,C,Holon,0505936593,Maccabi,Israel,1.54,59.0,True
339927529,M,Rotem,1978-08-07 00:00:00,S,Ashdod,0526546944,Clalit,Israel,1.72,76.0,True
385905626,M,Zev,1981-11-04 00:00:00,C,Petah-Tikva,0502433365,Leumit,Israel,1.6600000000000001,50.0,False
230290877,M,Avraham,1957-11-17 00:00:00,S,Beer-Sheva,0508051508,Leumit,Israel,1.82,73.0,True
162254301,M,Rafi,1994-04-02 00:00:00,C,Tel-Aviv,0501717368,Meuhedet,Israel,1.54,47.0,True
234424852,F,Shai,1953-06-29 00:00:00,S,Ashdod,0527263186,Meuhedet,Israel,1.7,61.0,False
337629044,F,Sarah,1973-03-03 00:00:00,C,Yavne,0522356450,Leumit,Ukraine,1.72,88.0,False
178438528,F,Adina,1992-02-12 00:00:00,N,Tiberias,0542816272,Leumit,Israel,1.8,75.0,True
296029545,F,Ora,1966-10-09 00:00:00,N,Akko,0506131119,Clalit,Argentina,1.86,68.0,True
275480086,F,Hadas,1986-06-25 00:00:00,C,Herzliya,0549314476,Meuhedet,Italy,1.8800000000000001,76.0,True
365070401,F,Moran,1972-05-05 00:00:00,S,Beer-Sheva,0525943767,Meuhedet,Israel,1.7,79.0,False
374784400,F,Shalev,1953-05-03 00:00:00,N,Haifa,0543550444,Clalit,Ukraine,1.98,95.0,True
138511410,M,Nathan,1957-06-12 00:00:00,C,Ramat-Gan,0502250177,Clalit,Israel,1.6600000000000001,44.0,True
273639928,M,Neta,1978-10-22 00:00:00,C,Givatayim,0526710990,Meuhedet,France,1.6600000000000001,79.0,False
326814488,M,Uri,1960-06-14 00:00:00,C,Herzliya,0547297278,Clalit,Morocco,1.8,89.0,True
143797326,F,Tal,1990-01-29 00:00:00,S,Eilat,0523254333,Meuhedet,Israel,1.72,71.0,True
379303004,F,Doron,1958-08-04 00:00:00,N,Nazareth,0541791380,Meuhedet,Ukraine,1.74,99.0,False
369029380,F,Batya,1966-10-16 00:00:00,C,Petah-Tikva,0506544207,Maccabi,Czech Republic,1.6800000000000002,62.0,True
131597212,M,Jonathan,1955-09-22 00:00:00,S,Ashkelon,0508225545,Maccabi,Argentina,1.72,85.0,True
172610424,M,Aaron,1962-05-06 00:00:00,N,Akko,0508114469,Maccabi,Slovakia,1.8,75.0,True
170493869,F,Omer,1969-07-05 00:00:00,S,Beer-Sheva,0546091435,Clalit,Israel,1.82,80.0,True
224488913,M,Eliezer,1950-03-09 00:00:00,N,Zichron-Yaakov,0527847159,Meuhedet,Russia,1.58,44.0,True
223437769,F,Shoshana,1993-04-30 00:00:00,S,Ashkelon,0543067240,Meuhedet,Brazil,1.7,63.0,True
395024658,F,Yuval,1992-05-05 00:00:00,C,Bat-Yam,0503687025,Leumit,Slovakia,1.8800000000000001,94.0,False
196199844,M,Isaac,1954-07-27 00:00:00,C,Netanya,0528487369,Maccabi,Israel,1.7,73.0,True
126207826,F,Amit,1957-12-27 00:00:00,C,Givatayim,0542140453,Meuhedet,Argentina,1.56,77.0,True
338347217,M,Tzur,1951-01-17 00:00:00,S,Eilat,0503346785,Clalit,England,1.78,78.0,False
336037900,M,Or,1979-07-10 00:00:00,N,Akko,0507319182,Clalit,Brazil,1.6,48.0,True
132167479,F,Eden,1974-02-07 00:00:00,C,Holon,0521354910,Maccabi,Israel,1.94,104.0,True
358333934,F,Tova,1978-05-28 00:00:00,S,Ashkelon,0542510515,Leumit,Russia,1.6,49.0,True
289875760,M,Noam,1965-04-18 00:00:00,C,Petah-Tikva,0523011980,Meuhedet,Israel,1.7,78.0,False
254953486,M,Moran,1994-04-19 00:00:00,C,Jerusalem,0549063926,Meuhedet,Israel,1.78,70.0,True
138909868,M,Rafi,1980-12-15 00:00:00,C,Givatayim,0501195552,Leumit,England,1.56,79.0,False
148935504,M,Aaron,1956-11-20 00:00:00,C,Herzliya,0544348851,Clalit,Poland,1.6800000000000002,72.0,False
229177027,F,Chana,1981-09-24 00:00:00,C,Tel-Aviv,0501486457,Maccabi,Morocco,1.98,99.0,True
367692056,F,Shachar,1980-08-02 00:00:00,N,Nazareth,0548305057,Meuhedet,Italy,1.6800000000000002,56.0,True
164148618,F,Tal,1975-03-20 00:00:00,S,Ashkelon,0505970367,Clalit,France,1.5,72.0,True
335928622,M,Eli,1984-10-13 00:00:00,S,Beer-Sheva,0508889298,Meuhedet,Yemen,1.8800000000000001,79.0,False
171502129,F,Eden,1965-10-25 00:00:00,S,Beer-Sheva,0506594029,Maccabi,England,1.76,72.0,True
134083606,M,Zev,1965-02-17 00:00:00,C,Tel-Aviv,0504148042,Leumit,Tripoli,1.6600000000000001,47.0,True
249649018,F,Shalev,1956-06-08 00:00:00,S,Beer-Sheva,0544333574,Meuhedet,Israel,1.52,69.0,True
285557982,F,Michal,1990-08-20 00:00:00,C,Rishon-LeZion,0522345546,Meuhedet,Israel,1.8800000000000001,89.0,True
181771906,M,Rafi,1972-02-28 00:00:00,C,Ramat-Gan,0547818258,Maccabi,Ukraine,1.5,67.0,True
214708883,F,Esther,1967-02-24 00:00:00,C,Jerusalem,0525095232,Clalit,Israel,2.0,113.0,True
264646515,M,Aaron,1974-04-17 00:00:00,C,Petah-Tikva,0507570539,Clalit,Tripoli,1.8800000000000001,89.0,True
