ID,gender,Fname,Lname,phone,Mail
216299756,F,Hadas,Ben-David,0503667932,Hadas_Ben-David9715@LUKA.com
195988317,F,Elisheva,Berger,0526610378,Elisheva_Berger6479@LUKA.com
240105380,F,Penina,Shohat,0522815443,Penina_Shohat8465@LUKA.com
362785857,F,Ayala,Ashkenazi,0501838936,Ayala_Ashkenazi4083@LUKA.com
179127894,M,Or,Sasson,0502765833,Or_Sasson5304@LUKA.com
230702319,F,Nitzan,Levy,0544491080,Nitzan_Levy3419@LUKA.com
121412173,M,Aaron,Mizrahi,0508054399,Aaron_Mizrahi6239@LUKA.com
360791730,M,Shalev,Cohen,0548663917,Shalev_Cohen4157@LUKA.com
196488094,F,Chana,Ezra,0503528394,Chana_Ezra5480@LUKA.com
339709610,F,Elisheva,Azoulay,0545890536,Elisheva_Azoulay7010@LUKA.com
298608020,F,Aviva,Silberstein,0509566642,Aviva_Silberstein6650@LUKA.com
166118563,F,Tamar,Silberstein,0544064051,Tamar_Silberstein9975@LUKA.com
138430157,F,Shachar,Katz,0503874122,Shachar_Katz8272@LUKA.com
178514949,F,Penina,Rosenbaum,0504808708,Penina_Rosenbaum2182@LUKA.com
132831911,F,Lior,Sasson,0544765604,Lior_Sasson6113@LUKA.com
151836147,F,Ruth,Mizrahi,0541169319,Ruth_Mizrahi7425@LUKA.com
289689006,F,Or,Friedman,0504253152,Or_Friedman8700@LUKA.com
169617118,F,Eden,Toledano,0506907926,Eden_Toledano5067@LUKA.com
267854770,M,Yaakov,Cohen,0545569600,Yaakov_Cohen4228@LUKA.com
190093524,F,Devorah,Eisenberg,0504843982,Devorah_Eisenberg5493@LUKA.com
229073881,F,Rotem,Cohen,0541401374,Rotem_Cohen3630@LUKA.com
346465374,F,Gila,Golan,0502438074,Gila_Golan2777@LUKA.com
275398435,F,Ilana,Cohen,0521622477,Ilana_Cohen6483@LUKA.com
221579415,F,Ora,Sasson,0529525159,Ora_Sasson9244@LUKA.com
313264388,F,Michal,Shoham,0501922474,Michal_Shoham1743@LUKA.com
251135890,F,Shoshana,Goldberg,0509126763,Shoshana_Goldberg7582@LUKA.com
327592732,F,Eden,Abuhatzira,0509583865,Eden_Abuhatzira3352@LUKA.com
139139055,M,Itai,David,0525805099,Itai_David4533@LUKA.com
399120199,F,Elior,Shohat,0507728302,Elior_Shohat8359@LUKA.com
128712212,F,Elisheva,Eisenberg,0529525193,Elisheva_Eisenberg8871@LUKA.com
348946855,F,Aviva,Levy,0506215323,Aviva_Levy7248@LUKA.com
134704921,M,Adi,Toledano,0524038348,Adi_Toledano7833@LUKA.com
196970269,F,Sahar,Cohen,0547966547,Sahar_Cohen2210@LUKA.com
390149475,M,Nathan,Friedland,0546982664,Nathan_Friedland4647@LUKA.com
391033305,F,Yuval,Azoulay,0505626754,Yuval_Azoulay6019@LUKA.com
148630444,M,Jonathan,Weiss,0524179920,Jonathan_Weiss2392@LUKA.com
256030271,F,Ronit,Katz,0523772887,Ronit_Katz1816@LUKA.com
346170084,M,Moran,Ezra,0525134076,Moran_Ezra5469@LUKA.com
185639782,F,Omer,Cohen,0502605294,Omer_Cohen2053@LUKA.com
177305073,F,Hannah,Sasson,0525301165,Hannah_Sasson6420@LUKA.com
189704259,F,Chana,Rosenberg,0502106562,Chana_Rosenberg7483@LUKA.com
276209841,M,Rafi,Cohen,0501132051,Rafi_Cohen1933@LUKA.com
110971539,F,Elior,Cohen,0503958603,Elior_Cohen1182@LUKA.com
259443256,F,Neta,Kaplan,0502125894,Neta_Kaplan3255@LUKA.com
299308202,F,Bracha,Weiss,0542663187,Bracha_Weiss6814@LUKA.com
141606854,F,Shira,Golan,0542535593,Shira_Golan2201@LUKA.com
257048934,F,Tamar,Levy,0525345185,Tamar_Levy8529@LUKA.com
216674435,F,Chana,Mizrahi,0509621891,Chana_Mizrahi5741@LUKA.com
212232335,F,Tal,Ben-Haim,0522899036,Tal_Ben-Haim5388@LUKA.com
246653024,M,Adi,Katz,0525527740,Adi_Katz1818@LUKA.com
